short_name;character;unicode;styles;keyword;categories
feather;;f52d;regular;feather;
feather-alt;;f56b;regular;feather-alt;
female;;f182;regular;female;
field-hockey;;f44c;regular;field-hockey;
fighter-jet;;f0fb;regular;fighter-jet;
file;;f15b;regular;file;
file-alt;;f15c;regular;file-alt;
file-archive;;f1c6;regular;file-archive;
file-audio;;f1c7;regular;file-audio;
file-certificate;;f5f3;regular;file-certificate;
file-chart-line;;f659;regular;file-chart-line;
file-chart-pie;;f65a;regular;file-chart-pie;
file-check;;f316;regular;file-check;
file-code;;f1c9;regular;file-code;
file-contract;;f56c;regular;file-contract;
file-csv;;f6dd;regular;file-csv;
file-download;;f56d;regular;file-download;
file-edit;;f31c;regular;file-edit;
file-excel;;f1c3;regular;file-excel;
file-exclamation;;f31a;regular;file-exclamation;
file-export;;f56e;regular;file-export;
file-image;;f1c5;regular;file-image;
file-import;;f56f;regular;file-import;
file-invoice;;f570;regular;file-invoice;
file-invoice-dollar;;f571;regular;file-invoice-dollar;
file-medical;;f477;regular;file-medical;
file-medical-alt;;f478;regular;file-medical-alt;
file-minus;;f318;regular;file-minus;
file-music;;f8b6;regular;file-music;
file-pdf;;f1c1;regular;file-pdf;
file-plus;;f319;regular;file-plus;
file-powerpoint;;f1c4;regular;file-powerpoint;
file-prescription;;f572;regular;file-prescription;
file-search;;f865;regular;file-search;
file-signature;;f573;regular;file-signature;
file-spreadsheet;;f65b;regular;file-spreadsheet;
file-times;;f317;regular;file-times;
file-upload;;f574;regular;file-upload;
file-user;;f65c;regular;file-user;
file-video;;f1c8;regular;file-video;
file-word;;f1c2;regular;file-word;
files-medical;;f7fd;regular;files-medical;
fill;;f575;regular;fill;
fill-drip;;f576;regular;fill-drip;
film;;f008;regular;film;
film-alt;;f3a0;regular;film-alt;
film-canister;;f8b7;regular;film-canister;
filter;;f0b0;regular;filter;
fingerprint;;f577;regular;fingerprint;
fire;;f06d;regular;fire;
fire-alt;;f7e4;regular;fire-alt;
fire-extinguisher;;f134;regular;fire-extinguisher;
fire-smoke;;f74b;regular;fire-smoke;
fireplace;;f79a;regular;fireplace;
first-aid;;f479;regular;first-aid;
fish;;f578;regular;fish;
